2,1.8458,1.706,1.4641,1.0986,0.66667,0.32099,0.14279,0.066667,0.032258,0.015873,0.007874,0.0039216
1.6136,1.4923,1.3829,1.195,0.91344,0.58061,0.30224,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4965,1.3787,1.2733,1.0941,0.83177,0.53187,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4142,1.2949,1.1884,1.0085,0.75032,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.3719,1.2506,1.1422,0.9582,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.352,1.2298,1.1203,0.93405,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.3929,1.2643,1.1494,0.95566,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4465,1.3115,1.1904,0.98455,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4742,1.336,1.2118,0.99984,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4873,1.3478,1.2221,1.0073,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4937,1.3535,1.2272,1.011,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4969,1.3563,1.2297,1.0128,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
1.4984,1.3577,1.2309,1.0137,0.69315,0.5,0.29167,0.14174,0.066665,0.032258,0.015873,0.007874,0.0039216
